Product Name,Price (PKR),Price (USD),Product Link,Image URL
"LOVEVOOK Laptop Backpack for Women, 15.6 Inch Work Business Backpacks Purse with USB Port, Large Capacity Nurse Bag College Bookbag for School, Waterproof Casual Daypack for Travel,Black-White-Brown",N/A,"LOVEVOOK Laptop Backpack for Women, 15.6 Inch Work Business Backpacks Purse with USB Port, Large Capacity Nurse Bag College Bookbag for School, Waterproof Casual Daypack for Travel,Black-White-Brown",/LOVEVOOK-Backpack-Backpacks-Waterproof-Black-White-Brown/dp/B0BPX6DNRG/ref=sr_1_10?_encoding=UTF8&content-id=amzn1.sym.1faf5a75-f10d-481a-9299-d0fe2e7649bd&dib=eyJ2IjoiMSJ9.WRkHGWVvBKT8iPp5RgzUc1e-SLDsNRKBRO3dmYBrlOzB2W_cuzLppxpikScyDeYAba-KIsP7Cve32X-v-N9SSu2RgHsVbftBGovz7ZJT3k6D1LEMv_SllNW4LhN1pw29oRG4cCYkbDbKwKynrWFapdttRgknhtCgPDUvDM9ClgiPMpqIdnOXfWuJt8wTVhw8ddINJV9KNYJMcBO2yBV1-m76AwCSa3nWTolXtaYxEwU.ej2T-TIdkpem2D8NvKFwpQwUxS917cVAyTaCkkILHyE&dib_tag=se&keywords=travel+backpack&pd_rd_r=e82b5c2a-0af3-444a-b19b-0e0fccce123f&pd_rd_w=8BMah&pd_rd_wg=QSUHD&pf_rd_p=1faf5a75-f10d-481a-9299-d0fe2e7649bd&pf_rd_r=G1X99QSCDB5MC6WENGRX&qid=1727253233&sr=8-10,https://m.media-amazon.com/images/I/11++B3A2NEL._SS200_.png
N/A,N/A,1 sustainability feature,N/A,https://m.media-amazon.com/images/I/11++B3A2NEL._SS200_.png
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,https://m.media-amazon.com/images/I/71eMR+D+q2L._AC_UY218_.jpg
"Osprey Daylite 35L Travel Pack, Kakio Pink/Purple Ink",N/A,"Osprey Daylite 35L Travel Pack, Kakio Pink/Purple Ink",/Osprey-Daylite-Travel-Kakio-Purple/dp/B0D6NYCYV9/ref=sr_1_11?_encoding=UTF8&content-id=amzn1.sym.1faf5a75-f10d-481a-9299-d0fe2e7649bd&dib=eyJ2IjoiMSJ9.WRkHGWVvBKT8iPp5RgzUc1e-SLDsNRKBRO3dmYBrlOzB2W_cuzLppxpikScyDeYAba-KIsP7Cve32X-v-N9SSu2RgHsVbftBGovz7ZJT3k6D1LEMv_SllNW4LhN1pw29oRG4cCYkbDbKwKynrWFapdttRgknhtCgPDUvDM9ClgiPMpqIdnOXfWuJt8wTVhw8ddINJV9KNYJMcBO2yBV1-m76AwCSa3nWTolXtaYxEwU.ej2T-TIdkpem2D8NvKFwpQwUxS917cVAyTaCkkILHyE&dib_tag=se&keywords=travel+backpack&pd_rd_r=e82b5c2a-0af3-444a-b19b-0e0fccce123f&pd_rd_w=8BMah&pd_rd_wg=QSUHD&pf_rd_p=1faf5a75-f10d-481a-9299-d0fe2e7649bd&pf_rd_r=G1X99QSCDB5MC6WENGRX&qid=1727253233&sr=8-11,N/A
N/A,N/A,Delivery,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,https://m.media-amazon.com/images/I/819MxEhxyVL._AC_UY218_.jpg
"Rockland Military Tactical Laptop Backpack, Black, Large",N/A,Sponsored,/sspa/click?ie=UTF8&spc=MTo2MzgzMjk3NDY4NTE5NzAzOjE3MjcyNTMyMzM6c3BfbXRmOjMwMDM1MTQ3ODE2OTgwMjo6MDo6&url=%2FRockland-Military-Tactical-Laptop-Backpack%2Fdp%2FB08N9QVYDC%2Fref%3Dsr_1_12_sspa%3F_encoding%3DUTF8%26content-id%3Damzn1.sym.1faf5a75-f10d-481a-9299-d0fe2e7649bd%26dib%3DeyJ2IjoiMSJ9.WRkHGWVvBKT8iPp5RgzUc1e-SLDsNRKBRO3dmYBrlOzB2W_cuzLppxpikScyDeYAba-KIsP7Cve32X-v-N9SSu2RgHsVbftBGovz7ZJT3k6D1LEMv_SllNW4LhN1pw29oRG4cCYkbDbKwKynrWFapdttRgknhtCgPDUvDM9ClgiPMpqIdnOXfWuJt8wTVhw8ddINJV9KNYJMcBO2yBV1-m76AwCSa3nWTolXtaYxEwU.ej2T-TIdkpem2D8NvKFwpQwUxS917cVAyTaCkkILHyE%26dib_tag%3Dse%26keywords%3Dtravel%2Bbackpack%26pd_rd_r%3De82b5c2a-0af3-444a-b19b-0e0fccce123f%26pd_rd_w%3D8BMah%26pd_rd_wg%3DQSUHD%26pf_rd_p%3D1faf5a75-f10d-481a-9299-d0fe2e7649bd%26pf_rd_r%3DG1X99QSCDB5MC6WENGRX%26qid%3D1727253233%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,N/A
N/A,N/A,Delivery,N/A,N/A
